# Excitonic eigen energies and oscillator strengths
#
# Momentum transfer Q=G+q in lattice cooridnates
# G:   0   0   0
# q:   0.0000000   0.0000000   0.0000000
# Momentum transfer Q=G+q in Cartesian cooridnates
# G:   0.0000000   0.0000000   0.0000000
# q:   0.0000000   0.0000000   0.0000000
# Norm2(G+q)   0.0000000
#
# Energy scale  27.2113839
# E_shift : -0.1529638416064815E+02
#
#    Nr.                       E               E+E_shift             |Osc. Str.|      Re(Osc. Str. Res.)      Im(Osc. Str. Res.)
      34     16.4520394765371663      1.1556553158890188  0.4607745630855445E-03  0.4607745630855445E-03  0.0000000000000000E+00
      35     16.5264268992636012      1.2300427386154533  0.6363718880055098E-03  0.6363718880055098E-03  0.0000000000000000E+00
      36     16.6638744792407962      1.3674903185926484  0.1679893085277388E-03  0.1679893085277388E-03  0.0000000000000000E+00
      37     16.7241168225328600      1.4277326618847153  0.1697491208432115E-02  0.1697491208432115E-02  0.0000000000000000E+00
      38     16.7536437145718047      1.4572595539236572  0.1134809358647703E-02  0.1134809358647703E-02  0.0000000000000000E+00
      39     16.8254556151080905      1.5290714544599431  0.1623173372855777E-02  0.1623173372855777E-02  0.0000000000000000E+00
      40     16.9249574448116782      1.6285732841635310  0.6506591104044204E-03  0.6506591104044204E-03  0.0000000000000000E+00
      41     16.9725372216054389      1.6761530609572934  0.7004318378419376E-03  0.7004318378419376E-03  0.0000000000000000E+00
      42     16.9857235478500819      1.6893393872019355  0.2602699674785473E-03  0.2602699674785473E-03  0.0000000000000000E+00
      43     17.0415675317453079      1.7451833710971616  0.3865634538795552E-03  0.3865634538795552E-03  0.0000000000000000E+00
      44     17.0895430701291211      1.7931589094809732  0.5754482534485236E-03  0.5754482534485236E-03  0.0000000000000000E+00
      45     17.1222286234851921      1.8258444628370440  0.1944414234137193E-03  0.1944414234137193E-03  0.0000000000000000E+00
      46     17.2006085454869648      1.9042243848388187  0.1096344868875769E-03  0.1096344868875769E-03  0.0000000000000000E+00
      47     17.2222489934600347      1.9258648328118895  0.3109944176097128E-03  0.3109944176097128E-03  0.0000000000000000E+00
      48     17.2900788357167734      1.9936946750686260  0.8929284234430635E-03  0.8929284234430635E-03  0.0000000000000000E+00
      49     17.3823659014360032      2.0859817407878554  0.5107335109201572E-03  0.5107335109201572E-03  0.0000000000000000E+00
      50     17.5289163191560178      2.2325321585078695  0.4506472643833065E-04  0.4506472643833065E-04  0.0000000000000000E+00
      51     17.5823525871792974      2.2859684265311495  0.8776530344517931E-04  0.8776530344517931E-04  0.0000000000000000E+00
      52     17.6818582683786900      2.3854741077305421  0.1194991036132578E-02  0.1194991036132578E-02  0.0000000000000000E+00
      53     17.6965357711590485      2.4001516105109033  0.6846666644839707E-03  0.6846666644839707E-03  0.0000000000000000E+00
      54     17.8165997999022458      2.5202156392540997  0.6921181945092742E-03  0.6921181945092742E-03  0.0000000000000000E+00
      55     17.8493207239464660      2.5529365632983181  0.7711020372029682E-03  0.7711020372029682E-03  0.0000000000000000E+00
      56     17.8937941456349918      2.5974099849868448  0.4850265816033336E-03  0.4850265816033336E-03  0.0000000000000000E+00
      57     17.9268140988070854      2.6304299381589389  0.9543340381527711E-04  0.9543340381527711E-04  0.0000000000000000E+00
      58     17.9431452587382942      2.6467610980901490  0.7576688915366287E-03  0.7576688915366287E-03  0.0000000000000000E+00
      59     18.1459032039429182      2.8495190432947735  0.8334840987524509E-03  0.8334840987524509E-03  0.0000000000000000E+00
      60     18.2470833762662110      2.9506992156180649  0.2345346313704760E-02  0.2345346313704760E-02  0.0000000000000000E+00
      61     18.3416345505892835      3.0452503899411369  0.4281285988630004E-03  0.4281285988630004E-03  0.0000000000000000E+00
      62     18.3485448929843962      3.0521607323362514  0.1562777246826832E-02  0.1562777246826832E-02  0.0000000000000000E+00
      63     18.5158953122229661      3.2195111515748196  0.6254314638068906E-03  0.6254314638068906E-03  0.0000000000000000E+00
      64     18.6338137513262652      3.3374295906781191  0.1965903731631688E-03  0.1965903731631688E-03  0.0000000000000000E+00
      65     18.6567045603060713      3.3603203996579265  0.8556810313957450E-04  0.8556810313957450E-04  0.0000000000000000E+00
      66     18.6878304368965082      3.3914462762483630  0.1423407430742807E-03  0.1423407430742807E-03  0.0000000000000000E+00
      67     18.7752283799162001      3.4788442192680544  0.8434328645396597E-03  0.8434328645396597E-03  0.0000000000000000E+00
      68     18.8060912987473934      3.5097071380992455  0.3007666938559467E-03  0.3007666938559467E-03  0.0000000000000000E+00
      69     18.8577722939626362      3.5613881333144888  0.8026852194238049E-04  0.8026852194238049E-04  0.0000000000000000E+00
      70     18.9142869023970697      3.6179027417489236  0.3875264244761539E-03  0.3875264244761539E-03  0.0000000000000000E+00
      71     18.9949457312472276      3.6985615705990820  0.2491228619150093E-03  0.2491228619150093E-03  0.0000000000000000E+00
      72     19.0244486601375620      3.7280644994894163  0.1853581176624540E-03  0.1853581176624540E-03  0.0000000000000000E+00
      73     19.1242341979167492      3.8278500372686044  0.2250038587863818E-03  0.2250038587863818E-03  0.0000000000000000E+00
      74     19.1585083899499402      3.8621242293017923  0.1065441169837481E-03  0.1065441169837481E-03  0.0000000000000000E+00
      75     19.2839456492538339      3.9875614886056887  0.1496638762619121E-02  0.1496638762619121E-02  0.0000000000000000E+00
      76     19.3031989483081645      4.0068147876600193  0.3491002612570150E-03  0.3491002612570150E-03  0.0000000000000000E+00
      77     19.3263329333342142      4.0299487726860663  0.2174277592233305E-02  0.2174277592233305E-02  0.0000000000000000E+00
      78     19.3576138493567456      4.0612296887085995  0.6503626464695792E-03  0.6503626464695792E-03  0.0000000000000000E+00
      79     19.4018049386530613      4.1054207780049152  0.9057674853686704E-03  0.9057674853686704E-03  0.0000000000000000E+00
      80     19.4226423920549855      4.1262582314068386  0.7769775577548501E-03  0.7769775577548501E-03  0.0000000000000000E+00
      81     19.4483805876683711      4.1519964270202232  0.3814424000639792E-03  0.3814424000639792E-03  0.0000000000000000E+00
      82     19.5129399849301386      4.2165558242819934  0.2762435981069721E-03  0.2762435981069721E-03  0.0000000000000000E+00
      83     19.5305941099497353      4.2342099493015901  0.2673547155546597E-03  0.2673547155546597E-03  0.0000000000000000E+00
      84     19.5377170639565776      4.2413329033084306  0.6104799220426540E-03  0.6104799220426540E-03  0.0000000000000000E+00
      85     19.6514617602255051      4.3550775995773598  0.2241419405836985E-03  0.2241419405836985E-03  0.0000000000000000E+00
      86     19.7030424543164671      4.4066582936683201  0.1105466861918833E-03  0.1105466861918833E-03  0.0000000000000000E+00
      87     19.7261348174264413      4.4297506567782943  0.1504003968961784E-02  0.1504003968961784E-02  0.0000000000000000E+00
      88     19.7608638178584322      4.4644796572102852  0.8883842965883509E-03  0.8883842965883509E-03  0.0000000000000000E+00
      89     19.8538408793668708      4.5574567187187247  0.8427359068242865E-03  0.8427359068242865E-03  0.0000000000000000E+00
      90     19.9020011929947209      4.6056170323465730  0.7496968353291990E-03  0.7496968353291990E-03  0.0000000000000000E+00
      91     19.9409814393219129      4.6445972786737668  0.2839312429380851E-02  0.2839312429380851E-02  0.0000000000000000E+00
      92     19.9651683239790074      4.6687841633308595  0.2912690302902125E-02  0.2912690302902125E-02  0.0000000000000000E+00
      93     20.0166120018525682      4.7202278412044203  0.2651160778309396E-03  0.2651160778309396E-03  0.0000000000000000E+00
      94     20.0451627189143942      4.7487785582662490  0.1204340488014072E-02  0.1204340488014072E-02  0.0000000000000000E+00
      95     20.1146031703878450      4.8182190097397006  0.6062649172310074E-03  0.6062649172310074E-03  0.0000000000000000E+00
      96     20.1810338579746507      4.8846496973265037  0.6172965945705631E-03  0.6172965945705631E-03  0.0000000000000000E+00
      97     20.1874374488637081      4.8910532882155628  0.4915400136231725E-03  0.4915400136231725E-03  0.0000000000000000E+00
      98     20.2130504741680852      4.9166663135199391  0.6389471106781475E-04  0.6389471106781475E-04  0.0000000000000000E+00
      99     20.2389051262880351      4.9425209656398899  0.1371309837241871E-03  0.1371309837241871E-03  0.0000000000000000E+00
     100     20.2775184283315895      4.9811342676834442  0.3940037182312261E-04  0.3940037182312261E-04  0.0000000000000000E+00
     101     20.2958887716103256      4.9995046109621786  0.2353836215622974E-03  0.2353836215622974E-03  0.0000000000000000E+00
     102     20.3020048943710556      5.0056207337229077  0.5515996802465057E-04  0.5515996802465057E-04  0.0000000000000000E+00
     103     20.3487206996551890      5.0523365390070438  0.2036481865302882E-03  0.2036481865302882E-03  0.0000000000000000E+00
     104     20.3749122068123860      5.0785280461642408  0.1569921529966598E-03  0.1569921529966598E-03  0.0000000000000000E+00
     105     20.3886725008238479      5.0922883401757035  0.3855850557173275E-04  0.3855850557173275E-04  0.0000000000000000E+00
     106     20.4196741428600390      5.1232899822118938  0.3864154705837521E-03  0.3864154705837521E-03  0.0000000000000000E+00
     107     20.4502718554684968      5.1538876948203516  0.6224849367272616E-03  0.6224849367272616E-03  0.0000000000000000E+00
     108     20.4880637804832162      5.1916796198350683  0.2256038461909420E-03  0.2256038461909420E-03  0.0000000000000000E+00
     109     20.4895024207941532      5.1931182601460062  0.9587383065972332E-04  0.9587383065972332E-04  0.0000000000000000E+00
     110     20.5029936130750272      5.2066094524268802  0.1848720905492396E-03  0.1848720905492396E-03  0.0000000000000000E+00
     111     20.5315738730807844      5.2351897124326392  0.2560307189995890E-02  0.2560307189995890E-02  0.0000000000000000E+00
     112     20.5349043381638694      5.2385201775157242  0.7598662140841991E-04  0.7598662140841991E-04  0.0000000000000000E+00
     113     20.5706063634595928      5.2742222028114458  0.2435530004114246E-03  0.2435530004114246E-03  0.0000000000000000E+00
     114     20.5956456602451219      5.2992614995969758  0.1858414483264674E-04  0.1858414483264674E-04  0.0000000000000000E+00
     115     20.6183773639009118      5.3219932032527657  0.1261820042733570E-03  0.1261820042733570E-03  0.0000000000000000E+00
     116     20.6413557537970291      5.3449715931488813  0.1563314149111011E-03  0.1563314149111011E-03  0.0000000000000000E+00
     117     20.6922049473947247      5.3958207867465795  0.2274337612983197E-03  0.2274337612983197E-03  0.0000000000000000E+00
     118     20.7082851719047518      5.4119010112566048  0.2671629880789021E-03  0.2671629880789021E-03  0.0000000000000000E+00
     119     20.7428919890675267      5.4465078284193789  0.3066122102956452E-03  0.3066122102956452E-03  0.0000000000000000E+00
     120     20.7591846740622152      5.4628005134140700  0.4399628521861131E-03  0.4399628521861131E-03  0.0000000000000000E+00
     121     20.7842017022893835      5.4878175416412374  0.2633602174449257E-04  0.2633602174449257E-04  0.0000000000000000E+00
     122     20.8050067356232695      5.5086225749751234  0.3561292186760892E-04  0.3561292186760892E-04  0.0000000000000000E+00
     123     20.8300750192628819      5.5336908586147349  0.4532734988944093E-03  0.4532734988944093E-03  0.0000000000000000E+00
     124     20.8612481811533783      5.5648640205052322  0.2508071318429677E-03  0.2508071318429677E-03  0.0000000000000000E+00
     125     20.9164264661619441      5.6200423055137989  0.1834661605685508E-03  0.1834661605685508E-03  0.0000000000000000E+00
     126     20.9802578467917158      5.6838736861435706  0.2857524668931530E-04  0.2857524668931530E-04  0.0000000000000000E+00
     127     21.0173595323174567      5.7209753716693088  0.3049369151628345E-04  0.3049369151628345E-04  0.0000000000000000E+00
     128     21.0241068259814199      5.7277226653332747  0.5265582445888447E-03  0.5265582445888447E-03  0.0000000000000000E+00
     129     21.0501171200616319      5.7537329594134841  0.3065468529881895E-03  0.3065468529881895E-03  0.0000000000000000E+00
     130     21.1070637491550599      5.8106795885069129  0.2616711389484727E-03  0.2616711389484727E-03  0.0000000000000000E+00
     131     21.1449013118632791      5.8485171512151339  0.5247465657968609E-03  0.5247465657968609E-03  0.0000000000000000E+00
     132     21.2122505940685784      5.9158664334204323  0.1765204269761433E-03  0.1765204269761433E-03  0.0000000000000000E+00
