0.01  19.96  0.05   # D_min      D_max       D_step
0.00   1.00  0.05   # delta_min  delta_max   delta_step
400 21              # n_D  n_delta
-0.17579    -0.173559    -0.167015    -0.156593    -0.142988   -0.127097   -0.109962   -0.0926842  -0.0763482   -0.0619325  -0.0502335  -0.0418003  -0.0368885  -0.0354395  -0.0370894   -0.0412081  -0.0469699   -0.0534522   -0.0597561   -0.0651432 -0.0691757
-0.224425   -0.221919    -0.214556    -0.202795    -0.187361   -0.169203   -0.149423   -0.129201   -0.109707    -0.0920145  -0.0770167  -0.0653575  -0.0573784  -0.0530919  -0.0521847   -0.0540539  -0.0578765   -0.0627098   -0.0676172   -0.0718142 -0.0748207
-0.26987    -0.267111    -0.258996    -0.245997    -0.228872   -0.208609   -0.186366   -0.16339    -0.140929    -0.120145   -0.102024   -0.0872998  -0.0763996  -0.0694069  -0.0660605   -0.065787   -0.0677684   -0.0710436   -0.0746399   -0.0777268 -0.0797818
-0.312135   -0.309146    -0.300344    -0.286216    -0.267541   -0.245342   -0.220823   -0.195289   -0.170059    -0.146376   -0.125312   -0.10769    -0.0940194  -0.0844545  -0.0787883   -0.0764791  -0.0767162   -0.0785225   -0.0808906   -0.0829444 -0.0841189
-0.351248   -0.348051    -0.338631    -0.323483    -0.303403   -0.27944    -0.252836   -0.224946   -0.19715     -0.170765   -0.146944   -0.126595   -0.110306   -0.0983043  -0.0904382   -0.0861996  -0.0847878   -0.0852122   -0.0864318   -0.0875262 -0.087888
-0.387252   -0.383872    -0.373902    -0.357845    -0.336506   -0.310954   -0.282459   -0.252416   -0.222261    -0.193374   -0.166985   -0.144079   -0.125327   -0.111025   -0.101078    -0.0950153  -0.092048    -0.0911744   -0.0913224   -0.0915277 -0.0911408
-0.420208   -0.416667    -0.406217    -0.389361    -0.36691    -0.339943   -0.309752   -0.277762   -0.245455    -0.214268   -0.1855     -0.160212   -0.139151   -0.122684   -0.110775    -0.10299    -0.0985581   -0.0964676   -0.0956172   -0.0950002 -0.0939251
-0.450186   -0.446509    -0.435647    -0.418101    -0.394684   -0.366478   -0.334784   -0.301053   -0.2668      -0.233515   -0.202557   -0.175059   -0.151843   -0.133346   -0.119591    -0.110185   -0.104376    -0.101147    -0.0993676   -0.0979914 -0.0962849
-0.477271   -0.47348     -0.462273    -0.444147    -0.419907   -0.390632   -0.357629   -0.322359   -0.286367    -0.251183   -0.218223   -0.188688   -0.163468   -0.143074   -0.127586    -0.116658   -0.109557    -0.105262    -0.102621    -0.100545  -0.0982606
-0.501555   -0.497671    -0.486185    -0.467585    -0.442663   -0.41249    -0.378365   -0.341757   -0.304228    -0.267343   -0.232567   -0.201163   -0.17409    -0.151928   -0.13482     -0.122464   -0.114151    -0.108863    -0.105422    -0.102702  -0.0998894
-0.523137   -0.519183    -0.507482    -0.48851     -0.463044   -0.432137   -0.397075   -0.359324   -0.320457    -0.282065   -0.245655   -0.212547   -0.183769   -0.159966   -0.141345    -0.127653   -0.118207    -0.111992    -0.10781     -0.104499  -0.101205
-0.542125   -0.538122    -0.526267    -0.507023    -0.481145   -0.449663   -0.413843   -0.37514    -0.335128    -0.295417   -0.257552   -0.222904   -0.192563   -0.167243   -0.147215    -0.132274   -0.121769    -0.114691    -0.109824    -0.105971  -0.102239
-0.558629   -0.554596    -0.542647    -0.523227    -0.497064   -0.465161   -0.428756   -0.389284   -0.348316    -0.30747    -0.268323   -0.232291   -0.200527   -0.173811   -0.152476    -0.136371   -0.124879    -0.116997    -0.111498    -0.107149  -0.103018
-0.572765   -0.568722    -0.556735    -0.537228    -0.510903   -0.478725   -0.4419     -0.401838   -0.360093    -0.318291   -0.278029   -0.240768   -0.207716   -0.179719   -0.157175    -0.139987   -0.127574    -0.118947    -0.112863    -0.108061  -0.10357
-0.58465    -0.580615    -0.568643    -0.549136    -0.522764   -0.490451   -0.453365   -0.412881   -0.370534    -0.327945   -0.286731   -0.248389   -0.21418    -0.185014   -0.161354    -0.143161   -0.129891    -0.120571    -0.11395     -0.108733  -0.103917
-0.594405   -0.590394    -0.578486    -0.559061    -0.53275    -0.500435   -0.463237   -0.422492   -0.379709    -0.336499   -0.294488   -0.255206   -0.219966   -0.189739   -0.165054    -0.145928   -0.131863    -0.121901    -0.114783    -0.10919   -0.10408
-0.602149   -0.598177    -0.586381    -0.567113    -0.540965   -0.508771   -0.471602   -0.43075    -0.387689    -0.344013   -0.301354   -0.261271   -0.22512    -0.193935   -0.168311    -0.148324   -0.133519    -0.122962    -0.115389    -0.109453  -0.104079
-0.608001   -0.604085    -0.592443    -0.573401    -0.54751    -0.515553   -0.478547   -0.437732   -0.394541    -0.350549   -0.307385   -0.26663    -0.229685   -0.197641   -0.171159    -0.150378   -0.134888    -0.12378     -0.115789    -0.109542  -0.103931
-0.612082   -0.608233    -0.596785    -0.578034    -0.552488   -0.520876   -0.484156   -0.443512   -0.400333    -0.356165   -0.312631   -0.271329   -0.2337     -0.200893   -0.173632    -0.152119   -0.135995    -0.124378    -0.116002    -0.109475  -0.103653
-0.614508   -0.610739    -0.59952     -0.581119    -0.555998   -0.52483    -0.48851    -0.448163   -0.405128    -0.360917   -0.317141   -0.275411   -0.237204   -0.203724   -0.175758    -0.153574   -0.136865    -0.124777    -0.116049    -0.109268  -0.103258
-0.615394   -0.611716    -0.600758    -0.582761    -0.558138   -0.527504   -0.49169    -0.451757   -0.408989    -0.364859   -0.320962   -0.278917   -0.240233   -0.206164   -0.177566    -0.154768   -0.137519    -0.124996    -0.115946    -0.108936  -0.10276
-0.614854   -0.611276    -0.600609    -0.583062    -0.559003   -0.528985   -0.493772   -0.454361   -0.411974    -0.368043   -0.324139   -0.281885   -0.242818   -0.208245   -0.17908     -0.155723   -0.137976    -0.125053    -0.115709    -0.108492  -0.10217
