# Loss function L(Q,w) and dynamical structure factor S(Q,w)
#
# L(Q,w)= -Im(1/eps_m(Q,w) [1]
# S(Q,w)= L(Q,w)*|Q|^2*/(4 pi^2 n_val) [Energy^-1]
#
# Momentum transfer Q=G+q in lattice coordinates
# G:   0   0   0
# q:   0.0000000   0.0000000   0.0000000
# Momentum transfer Q=G+q in Cartesian coordinates
# G:   0.0000000   0.0000000   0.0000000
# q:   0.0000000   0.0000000   0.0000000
# Norm2(G+q)   0.0000000
#
#   Frequency/(eV/hbar)                  L(Q,w)             S(Q,w)*1000
+0.1089362400528667E+02 +0.1454772153441440E-01 +0.0000000000000000E+00
+0.1090949731253833E+02 +0.1467531618341959E-01 +0.0000000000000000E+00
+0.1092537061979000E+02 +0.1480493715069544E-01 +0.0000000000000000E+00
+0.1094124392704167E+02 +0.1493663273013928E-01 +0.0000000000000000E+00
+0.1095711723429333E+02 +0.1507045273405018E-01 +0.0000000000000000E+00
+0.1097299054154500E+02 +0.1520644855239180E-01 +0.0000000000000000E+00
+0.1098886384879667E+02 +0.1534467321482193E-01 +0.0000000000000000E+00
+0.1100473715604833E+02 +0.1548518145563958E-01 +0.0000000000000000E+00
+0.1102061046330000E+02 +0.1562802978180948E-01 +0.0000000000000000E+00
+0.1103648377055167E+02 +0.1577327654423434E-01 +0.0000000000000000E+00
+0.1105235707780333E+02 +0.1592098201245609E-01 +0.0000000000000000E+00
+0.1106823038505500E+02 +0.1607120845297854E-01 +0.0000000000000000E+00
+0.1108410369230667E+02 +0.1622402021141629E-01 +0.0000000000000000E+00
+0.1109997699955833E+02 +0.1637948379868905E-01 +0.0000000000000000E+00
+0.1111585030681000E+02 +0.1653766798149293E-01 +0.0000000000000000E+00
+0.1113172361406167E+02 +0.1669864387729793E-01 +0.0000000000000000E+00
+0.1114759692131333E+02 +0.1686248505413533E-01 +0.0000000000000000E+00
+0.1116347022856500E+02 +0.1702926763545797E-01 +0.0000000000000000E+00
+0.1117934353581667E+02 +0.1719907041037445E-01 +0.0000000000000000E+00
+0.1119521684306833E+02 +0.1737197494958016E-01 +0.0000000000000000E+00
+0.1121109015032000E+02 +0.1754806572732841E-01 +0.0000000000000000E+00
+0.1122696345757167E+02 +0.1772743024981126E-01 +0.0000000000000000E+00
+0.1124283676482333E+02 +0.1791015919034299E-01 +0.0000000000000000E+00
+0.1125871007207500E+02 +0.1809634653176947E-01 +0.0000000000000000E+00
+0.1127458337932667E+02 +0.1828608971655494E-01 +0.0000000000000000E+00
+0.1129045668657833E+02 +0.1847948980503126E-01 +0.0000000000000000E+00
+0.1130632999383000E+02 +0.1867665164233023E-01 +0.0000000000000000E+00
+0.1132220330108167E+02 +0.1887768403455740E-01 +0.0000000000000000E+00
+0.1133807660833333E+02 +0.1908269993480656E-01 +0.0000000000000000E+00
